species,sex,length,age
"Softshell","male","10.7 10.6",32
"Spotted","female","5.3 5.5 5.3 5.4 5.3",68
"Spotted","female","4.7 4.7",67
"Softshell","male","10.3 10.5 10.3",28
"Spotted","female","4.9 4.5",46
"Spotted","male","3.2 2.8 3.1 2.9 2.9",11
"Softshell","female","10.6 10.3 10.3 10.3",27
"Spotted","male","2.4 2.6 2.3 2.5 2.7",16
"Spotted","female","5.6 5.5",71
"Spotted","male","3.0 3.3",25
"Spotted","male","4.2 4.2",32
"Softshell","female","10.8 10.7 10.7 10.8 10.8",23
"Spotted","male","4.2 4.0 4.1 4.0",54
"Spotted","female","4.4 4.5 4.3",40
"Softshell","female","10.5 10.6",15
"Softshell","female","9.9 10.0",15
"Softshell","female","11.3 11.4 11.4",35
"Spotted","male","3.2 3.0 3.2 3.3",29
"Spotted","female","4.9 4.8",43
"Spotted","male","2.7 2.8",17
"Spotted","female","4.2 4.3",18
"Softshell","female","10.5 10.5 10.5",20
"Spotted","male","3.6 3.5",31
"Softshell","female","10.8 10.7 11.0 10.9 10.8 11.0",20
"Softshell","male","9.4 9.9 9.7 9.6",25
"Spotted","female","4.8 5.0",64
"Softshell","male","10.1 9.8",25
"Spotted","male","3.0 2.9 3.0",17
"Spotted","female","5.3 5.4 5.6 5.4",72
"Spotted","male","2.8 2.6 2.8",19
"Softshell","female","9.9 9.8 9.9 9.9",15
"Softshell","female","10.4 10.5 10.6",19
"Softshell","female","10.4 10.4 10.7 10.4 10.3",10
"Spotted","female","4.5 4.3 4.5 4.6",42
"Softshell","female","11.1 11.1 11.1",15
"Softshell","female","10.5 10.2 10.3 10.4 10.2 10.3",13
"Softshell","female","10.4 10.7 10.6 10.5",27
"Softshell","female","9.7 9.8 9.6",5
"Softshell","female","10.6 10.6 10.4",26
"Spotted","male","4.0 4.1 4.1",42
"Spotted","female","4.7 4.6",21
"Spotted","female","4.4 4.2 4.3 4.1",12
"Spotted","female","4.7 5.0 4.9",55
"Spotted","female","5.0 5.0",44
"Spotted","male","4.3 4.5",28
"Spotted","male","3.3 3.4",32
"Softshell","male","8.6 8.5 8.9",8
"Softshell","male","9.4 9.7 9.7",18
"Spotted","female","4.4 4.6",44
"Softshell","male","9.4 9.5",22
"Softshell","male","9.7 9.7 9.6 9.9",17
"Softshell","female","11.6 11.5 11.6",35
"Spotted","male","3.3 3.2 3.2",24
"Spotted","female","5.1 5.1 5.2",52
"Spotted","male","3.4 3.4",22
"Softshell","male","10.2 10.3",19
"Spotted","male","3.7 3.5 3.5",32
"Spotted","male","3.9 3.7",32
"Softshell","male","9.0 8.9 9.0",11
"Spotted","male","3.9 4.1",32
"Softshell","female","10.7 10.5",18
"Spotted","male","4.1 4.3 4.1",36
"Spotted","female","4.7 4.7",34
"Softshell","male","8.9 9.0",16
"Spotted","male","3.4 3.5 3.6",37
"Spotted","male","3.5 3.9",16
"Softshell","male","8.4 8.3 8.2",9
"Spotted","female","5.0 5.0",71
"Softshell","female","10.6 10.6 10.7",20
"Softshell","female","10.9 10.6 10.7 10.9",27
"Spotted","female","4.8 4.8",46
"Spotted","female","4.7 4.7 4.9",30
"Spotted","female","5.0 5.3 4.8",60
"Spotted","female","4.4 4.5 4.7",35
"Spotted","male","4.6 4.5",53
"Spotted","male","4.6 4.4 4.5",26
"Softshell","male","9.9 9.7 9.7 9.7 9.5",26
"Softshell","female","10.7 10.8 11.0 10.8 10.6",18
"Spotted","female","5.2 5.2",45
"Softshell","female","10.7 10.5 10.4",16
"Spotted","male","3.3 3.3 3.4 3.3",16
"Spotted","female","5.3 5.3",43
"Softshell","male","10.0 9.6 9.5 9.7",30
"Spotted","female","5.5 5.5",66
"Softshell","female","10.7 10.5",27
"Softshell","male","9.6 9.5 9.8",17
"Softshell","female","10.9 10.8 10.8",25
"Spotted","female","5.3 5.3 5.1",42
"Spotted","male","3.1 3.0 3.2",19
"Spotted","male","3.6 3.6",27
"Softshell","female","10.1 9.7",19
"Spotted","male","4.4 4.4 4.5",56
"Spotted","female","5.3 5.5 5.2 5.4 5.2",36
"Softshell","male","8.8 8.5 8.5",8
"Softshell","female","10.8 10.9",26
"Softshell","female","10.9 10.7 10.7 10.7 10.7",27
"Spotted","female","4.8 4.5",54
"Softshell","female","11.3 11.3 11.1",23
"Softshell","female","10.0 9.7 9.5 9.9 9.9 9.8",15
"Spotted","female","5.0 5.0",45
"Softshell","male","9.2 9.1 9.3",9
"Softshell","male","9.4 9.6 9.6",16
"Spotted","female","4.6 4.9 4.8",43
"Spotted","male","3.8 3.4",33
"Spotted","female","5.1 5.2 5.1",60
"Softshell","female","10.2 10.1 10.1 10.2",14
"Softshell","female","9.9 9.7 9.7",18
"Spotted","female","4.4 4.3",28
"Softshell","female","10.8 10.9 10.8",21
"Spotted","female","3.6 3.8",22
"Spotted","female","4.1 4.2",59
"Spotted","female","4.8 5.1 5.1",72
"Softshell","male","9.4 9.3 9.5",18
"Softshell","male","8.7 8.9 8.9",10
"Spotted","female","5.2 5.2",52
"Spotted","male","3.8 4.0 4.0 3.9 3.8",22
"Spotted","female","5.3 5.2 5.5",50
"Softshell","female","10.6 10.6 10.5 10.5 10.8",14
"Softshell","female","10.4 10.3",15
"Softshell","male","9.2 9.3",11
"Softshell","male","8.6 8.6 8.5",13
"Softshell","male","9.0 9.3 9.3 9.3",16
"Spotted","female","4.8 5.1 5.0",69
"Softshell","female","9.4 9.6 9.4",20
"Spotted","male","4.1 4.1",33
"Softshell","female","10.5 10.5 10.4",19
"Softshell","male","8.9 9.1 9.0",26
"Spotted","male","1.5 1.6 1.8 1.5",2
"Spotted","female","4.7 4.8 4.6",34
"Softshell","female","10.8 10.7",29
"Spotted","female","4.7 4.8",50
"Softshell","female","10.9 11.0",25
"Softshell","male","8.5 8.5",11
"Softshell","female","10.7 10.8 10.5",21
"Spotted","male","3.0 3.1",18
"Softshell","male","9.6 9.7 9.6",19
"Spotted","female","4.8 4.8",29
"Softshell","female","10.0 10.3",17
"Softshell","male","8.9 8.7 8.6",14
"Spotted","female","4.3 4.5 4.2",27
"Softshell","male","8.5 8.6",8
"Softshell","male","9.2 9.2 9.2",25
"Softshell","male","10.1 10.2 9.9",18
"Softshell","female","10.7 10.6 10.5 10.6 10.4 10.5",19
"Softshell","male","9.5 9.3",14
"Softshell","female","10.3 10.4 10.6 10.5",20
"Spotted","male","4.2 3.9 4.0 3.8 4.0",37
"Softshell","female","10.6 10.7",19
"Softshell","male","9.6 9.9 9.5",21
"Spotted","male","3.1 2.8 2.9 3.1",23
"Spotted","male","3.9 4.3",53
"Softshell","male","8.9 9.1 9.1",15
"Softshell","male","9.8 9.6 9.7",31
"Spotted","male","3.0 2.9 3.0",54
"Spotted","male","3.0 3.0",9
"Spotted","female","3.8 4.0 3.8 3.8",26
"Spotted","female","4.8 4.7 5.0 4.9 4.8",45
"Softshell","female","10.4 10.0",19
"Spotted","female","4.9 5.1",43
"Spotted","female","5.3 5.5",56
"Spotted","male","4.0 4.2 3.9 3.9 4.1 4.1",53
"Softshell","male","10.0 10.0 10.0",26
"Softshell","female","10.0 9.8 10.0",16
"Spotted","male","3.7 3.9 3.7 3.7 3.9",43
"Spotted","female","4.2 4.5",45
"Spotted","female","4.5 4.6 4.6",44
"Softshell","female","10.6 10.7 10.8",19
"Softshell","male","8.8 8.9 8.8 8.8",16
"Spotted","female","4.2 4.2",63
"Spotted","male","4.1 4.0 4.2 4.1",32
"Spotted","male","3.2 3.3",21
"Softshell","male","9.7 10.0",22
"Softshell","female","10.7 10.6",30
"Spotted","male","3.3 3.2 3.3 3.2",12
"Softshell","female","10.0 10.1 10.2",13
"Spotted","female","4.3 4.5 4.6 4.2 4.3",34
"Spotted","male","3.6 3.4 3.6",37
"Softshell","female","9.5 9.5 9.6",16
"Spotted","female","3.9 3.8 3.8 3.8",26
"Softshell","female","10.8 10.9 11.1 11.1",22
"Softshell","female","10.4 10.4 10.3 10.4",13
"Softshell","female","9.8 9.8",13
"Spotted","female","4.9 5.2 4.7",54
"Spotted","female","4.8 4.8 4.8 5.0 4.8",88
"Softshell","female","10.6 10.6",20
"Spotted","male","3.5 3.3 3.5",32
"Spotted","female","5.2 5.3 5.1 5.2",62
"Spotted","female","4.7 4.9 5.0",46
"Softshell","female","10.2 10.4 10.5 10.6",28
"Spotted","female","5.4 5.5 5.4 5.5",46
"Spotted","female","4.9 4.6 4.8",52
"Spotted","female","5.3 5.1 5.3",52
"Softshell","female","11.0 11.0",33
"Spotted","male","3.0 2.8 3.1 3.0",21
"Softshell","male","9.5 9.6 9.4",11
"Spotted","male","3.9 3.8",42
"Softshell","male","8.0 8.1",13
"Softshell","male","10.3 10.1",27
"Spotted","male","3.3 3.3 3.4 3.4 3.4",16
"Softshell","female","10.6 10.7 10.4 10.4 10.6",17
"Softshell","male","8.7 8.6",11
"Spotted","male","3.0 2.9",26
"Spotted","female","4.8 4.9",52
"Spotted","female","5.8 5.6",62
"Softshell","female","10.3 10.0 10.1 10.2",22
"Softshell","female","10.7 10.7 10.7 10.8 10.9 10.6",21
"Spotted","female","5.1 4.9",36
"Softshell","female","10.5 10.5 10.7",20
"Softshell","female","10.3 10.3 10.5 10.3 10.2",16
"Spotted","male","3.3 3.3 3.3 3.3",38
"Softshell","male","9.9 9.8 9.7 9.6",36
"Softshell","female","10.6 10.4",20
"Spotted","female","5.4 5.4 5.2",57
"Spotted","female","4.6 4.8 4.7 4.6",54
"Spotted","female","6.0 6.1 6.3",78
"Spotted","female","5.4 5.3",63
"Spotted","male","4.1 3.7 4.0 3.9",28
"Spotted","female","5.6 5.6",89
"Softshell","female","10.8 10.7 10.7 10.5 10.7 10.9",22
"Spotted","female","5.2 5.4 5.4",75
"Spotted","male","2.7 3.3 2.8 2.7 2.9 2.8 2.7",12
"Spotted","female","4.1 4.3",31
"Spotted","female","4.9 4.6",69
"Spotted","female","4.8 4.8 4.9",58
"Spotted","female","4.9 4.7 5.2 4.8",86
"Softshell","male","10.0 9.8 9.7",8
"Spotted","female","4.7 4.7 4.7",47
"Spotted","female","4.6 4.9",35
"Spotted","female","5.2 5.1 5.1 5.0 5.4",52
"Softshell","male","9.5 9.6 9.3",33
"Softshell","female","9.9 9.8 9.9 10.1",27
"Spotted","female","5.0 4.9",70
"Spotted","male","3.2 3.1",26
"Softshell","male","8.9 9.0 9.1",16
"Spotted","female","5.5 5.3",53
"Softshell","male","9.4 9.2 9.5",25
"Spotted","female","5.0 5.0 4.9",76
"Spotted","female","5.5 5.1 5.5 5.5",53
"Spotted","male","3.6 3.5 3.3 3.6",32
"Spotted","male","2.8 3.0",27
"Softshell","male","8.5 8.6 8.6 8.5 8.6",7
"Softshell","female","10.1 10.5 10.5",16
"Spotted","female","5.4 5.2 5.5 5.3",60
"Softshell","female","10.4 10.4 10.5",18
"Spotted","female","4.9 5.0 4.9",68
"Spotted","female","5.2 5.4 5.2",67
"Softshell","female","10.6 10.6 10.7",20
"Softshell","male","10.1 9.8",19
"Spotted","female","5.4 5.3",88
"Softshell","female","10.2 10.3",14
"Spotted","male","3.0 3.1 3.0 3.2",18
"Softshell","male","9.2 9.1",13
"Spotted","female","4.1 4.1 4.1 4.0 4.1",35
"Softshell","female","10.6 10.5 10.7",27
"Spotted","female","4.6 4.7 4.5",37
"Softshell","female","10.2 10.4 10.2",11
"Softshell","male","9.9 9.9",28
"Spotted","female","5.1 5.0",28
"Spotted","male","4.9 4.9",43
"Softshell","female","10.2 10.2 9.9",12
"Softshell","female","9.9 10.1",29
"Softshell","female","10.2 10.1 10.1 10.1",21
"Spotted","female","5.0 4.8 4.9",67
"Spotted","male","2.6 2.8 2.7 2.8",16
"Softshell","female","10.8 10.7",24
"Spotted","male","3.1 3.0",16
"Softshell","female","10.6 10.5",30
"Spotted","female","4.0 4.0",49
"Spotted","male","4.0 4.1 4.1",43
"Spotted","male","3.4 3.3 3.4",31
"Spotted","female","4.6 4.4 4.2",42
"Softshell","female","11.3 11.0",43
"Softshell","male","9.6 9.9 9.5",22
"Spotted","female","4.0 3.6 3.8",23
"Softshell","female","10.5 10.5 10.3",21
"Spotted","female","4.4 4.2 4.2",56
"Spotted","female","5.5 5.4",76
"Softshell","female","10.4 10.7 10.4 10.3",13
"Softshell","female","10.9 10.9 10.9",14
"Spotted","male","2.5 2.3",31
"Softshell","male","9.9 9.9 9.9",20
"Spotted","female","5.4 5.3 5.4",42
"Spotted","female","4.9 4.9 4.9",47
"Spotted","female","4.9 4.7 4.7",47
"Softshell","male","8.4 8.6 8.5 8.4 8.5",10
"Spotted","female","5.3 5.3",61
"Spotted","female","5.6 5.8 5.8",71
"Spotted","male","3.5 3.6 3.6",32
"Softshell","female","10.8 10.8",27
"Spotted","female","4.5 4.5 4.5 4.5",55
"Softshell","female","10.0 10.1",18
"Softshell","female","10.2 10.2 10.1 10.1",24
"Spotted","female","4.8 4.8 4.7 4.7",46
"Softshell","female","10.2 10.3 10.6 10.4",23
"Softshell","male","9.5 9.4",26
"Softshell","female","10.7 10.7 10.6",22
"Spotted","male","3.9 3.6 3.6",31
"Spotted","female","4.9 4.7 4.9",61
"Spotted","male","2.8 2.8 2.9 2.7 2.6",21
"Spotted","male","4.5 4.4 4.3 4.5",32
"Spotted","female","5.4 5.4 5.4 5.6",46
"Spotted","male","4.3 4.2",42
"Softshell","male","9.1 9.0",21
"Softshell","female","9.9 10.3",30
"Softshell","male","8.9 8.9",17
"Softshell","male","8.3 8.2 8.1 8.3 8.3",17
"Spotted","female","3.5 3.7",39
"Softshell","male","8.3 8.4 8.4 8.8",5
"Softshell","female","10.3 10.6",15
"Spotted","male","2.7 2.9 2.9",18
"Spotted","female","4.7 4.7 4.8",34
"Spotted","male","3.6 3.7 3.8 3.7 3.7",32
"Spotted","female","4.3 4.6 4.3",52
"Softshell","female","10.3 10.1",23
"Softshell","female","10.5 10.9 10.7",8
"Softshell","female","9.7 9.7 9.9",20
"Softshell","male","8.8 8.8 8.8",19
"Softshell","female","10.3 10.5 10.5",27
"Spotted","female","5.2 5.0 5.1",94
"Spotted","male","3.7 3.5",37
"Softshell","female","10.4 10.3 10.3 10.2",29
"Spotted","female","5.0 4.9",54
"Spotted","male","3.5 3.6",23
"Spotted","male","4.0 4.1 4.2 4.0",21
"Softshell","female","10.5 10.7 10.5 10.5",23
"Spotted","male","5.0 4.7",37
"Softshell","male","8.6 8.7",16
"Spotted","female","5.2 5.2 5.4",54
"Softshell","male","8.7 8.7 8.4 8.6",12
"Spotted","female","5.2 5.0 4.9 5.1",57
"Spotted","female","4.7 4.7",29
"Spotted","female","4.0 4.4",12
"Softshell","male","9.8 9.6 9.2",33
"Spotted","female","5.7 5.7",68
"Spotted","female","5.7 5.6",78
"Spotted","female","5.2 4.8 5.1 5.0",44
"Spotted","male","3.5 3.2 3.4",29
"Softshell","male","9.1 9.2 9.2",18
"Softshell","female","10.1 10.1 10.1",21
"Softshell","male","10.0 9.8 10.0",25
"Spotted","female","4.0 3.9",20
"Softshell","male","9.3 9.3 9.1",19
"Spotted","female","5.3 5.7 5.4",87
"Spotted","male","3.4 3.3 3.3",32
"Softshell","female","9.9 10.1 9.8",9
"Spotted","male","3.0 3.2",28
"Spotted","female","5.7 5.5 5.6 5.6 5.5 5.6",42
"Spotted","male","3.4 3.5 3.5",27
"Spotted","female","5.2 5.2",55
"Spotted","female","3.7 4.0 4.0",39
"Spotted","female","4.7 4.8 4.9",52
"Softshell","female","9.9 9.7 10.1 9.8",19
"Spotted","female","4.6 4.8",34
"Spotted","female","3.9 3.9 4.1",28
"Softshell","female","10.4 10.4",23
"Spotted","male","3.6 3.4 3.6 3.5",21
"Spotted","female","5.6 5.3 5.6",78
"Softshell","male","9.5 9.4 9.4",24
"Spotted","female","4.3 4.8 4.6",54
"Spotted","female","4.3 4.5 4.7 4.6 4.6",48
"Softshell","male","8.7 8.7 8.7 8.7",8
"Softshell","female","10.5 10.7 10.5 10.4 10.5",24
"Softshell","female","10.8 11.1",15
"Spotted","male","2.0 2.1 2.3 2.1",21
"Softshell","female","10.7 10.7",19
"Spotted","female","4.6 4.9",62
"Softshell","female","9.8 9.8",15
"Spotted","female","5.2 5.5 5.5 5.3 5.3 5.3",47
"Softshell","male","8.6 8.6 8.8",5
"Softshell","male","9.9 9.9",24
"Softshell","female","10.1 10.2 10.3 10.1",20
"Softshell","female","9.8 9.9 9.9",13
"Softshell","male","9.2 9.3",39
"Spotted","female","5.8 5.8 5.7 5.8",83
"Spotted","female","4.8 4.7 4.5",60
"Softshell","female","10.6 10.5",37
"Softshell","male","9.8 9.9 9.8",24
"Spotted","female","5.0 5.0",33
"Spotted","male","4.3 4.2",38
"Spotted","female","5.3 5.2 5.3",43
"Spotted","male","2.8 2.8",34
"Softshell","female","10.2 10.0",29
"Softshell","male","8.6 8.4 8.5",6
"Spotted","female","4.5 4.5 4.4",40
"Softshell","female","11.3 11.0",27
"Softshell","male","8.2 7.9 7.9 7.9",7
"Spotted","female","4.4 4.6 4.6",35
"Softshell","female","10.5 10.3 10.5 10.7",16
"Softshell","female","11.1 11.1 11.2",16
"Spotted","female","3.8 3.5 3.7 3.8",19
"Softshell","female","11.1 11.0",14
"Softshell","male","8.3 8.3 8.4",2
"Spotted","male","3.8 3.9 3.8",48
"Softshell","male","9.7 9.6 9.4 9.6 9.2",18
"Spotted","female","5.9 5.8 5.8",120
"Softshell","male","9.0 9.2",18
"Softshell","male","9.5 9.5",14
"Spotted","female","4.9 4.9 4.6 5.1",61
"Softshell","male","9.8 9.9",29
"Softshell","male","8.9 8.8",10
"Softshell","female","10.5 10.5 10.5 10.5 10.5",30
"Softshell","female","10.6 10.3 10.6",18
"Spotted","female","4.6 4.6 4.4 4.6 4.3",35
"Softshell","female","10.5 10.5",21
"Spotted","male","2.3 2.2 2.2 2.1",17
"Softshell","male","9.0 9.0",20
"Spotted","female","5.5 5.6",69
"Spotted","female","5.2 5.1",79
"Spotted","male","3.4 3.1 3.2 3.1",21
"Softshell","female","11.1 10.8",27
"Spotted","female","3.7 3.4 3.6 3.3",11
"Spotted","male","3.4 3.4",31
"Spotted","female","3.8 3.8 3.9",43
"Spotted","female","4.8 4.9 4.8 4.9",59
"Softshell","female","11.3 11.2 11.2 11.2",28
"Spotted","female","4.1 4.2 4.3 4.0 4.2",30
"Spotted","female","5.0 5.0",53
"Spotted","female","5.1 4.9 4.8",94
"Softshell","male","8.8 8.6",5
"Spotted","male","3.2 3.2",21
"Softshell","female","10.8 10.4 10.7 10.6 10.8",24
"Spotted","female","4.7 4.9",51
"Softshell","female","10.3 10.3",29
"Softshell","male","9.3 9.3 9.3 9.2",23
"Spotted","male","3.7 3.5 3.6 3.7",36
"Spotted","female","4.8 4.6",61
"Softshell","female","10.6 10.4",18
"Softshell","male","8.8 9.1 8.8 9.0",14
"Spotted","female","5.2 5.3 5.2 5.2 5.3",36
"Spotted","male","3.3 3.2",16
"Softshell","female","10.5 10.5 10.5 10.6",25
"Spotted","female","4.7 4.9",32
"Spotted","male","2.7 2.6 2.8 2.9",18
"Softshell","male","9.1 9.3 9.3 9.5",18
"Spotted","male","3.7 3.6 3.6 3.6",37
"Softshell","female","10.2 10.3 10.1",17
"Spotted","male","2.9 2.8",36
"Spotted","male","3.8 4.1 3.8",27
"Softshell","female","10.8 10.8 10.8 11.0 10.7 10.9 11.0",18
"Spotted","male","2.7 2.6 2.7",21
"Spotted","female","5.7 5.5 5.8",91
"Spotted","female","5.2 5.4 5.4",48
"Softshell","male","9.6 9.3",25
"Spotted","male","3.7 3.6",29
"Softshell","female","10.5 10.6 10.8 10.6",22
"Spotted","female","4.9 4.8 4.9 5.0 4.9",59
"Softshell","male","9.4 9.5 9.3",13
"Spotted","male","3.9 3.8 3.9",27
"Softshell","male","9.6 9.2 9.2",15
"Softshell","female","10.3 10.5 10.7",28
"Softshell","male","8.4 8.2 8.3",4
"Softshell","male","9.2 8.9",15
"Spotted","female","5.2 5.4 5.4 5.3 5.6 5.4",75
"Spotted","male","2.8 2.8",16
"Spotted","female","5.5 5.3",74
"Spotted","female","5.2 5.2 5.2 5.0",55
"Spotted","female","3.9 3.8 3.8",24
"Spotted","male","3.4 3.5 3.4",18
"Softshell","female","10.2 10.2 10.1 10.2",17
"Spotted","male","3.8 3.8",46
"Softshell","male","9.2 9.2",16
"Spotted","female","4.7 5.0",72
"Softshell","male","9.1 9.3",27
"Softshell","male","9.0 9.2",22
"Softshell","male","8.9 9.0 8.7",7
"Spotted","female","4.5 4.0 4.3",52
"Spotted","female","5.6 5.5",67
"Spotted","female","5.8 5.8",84
"Spotted","male","3.5 3.2 3.5",27
"Softshell","female","10.6 10.5 10.5 10.4 10.4 10.6 10.6",14
"Softshell","female","10.3 10.2",25
"Spotted","male","4.3 4.3",52
"Spotted","female","4.8 4.8 4.8 5.0",54
"Softshell","male","9.7 9.4 9.5 9.7",22
"Softshell","female","10.1 10.1 10.0",16
"Spotted","female","4.4 4.4",27
"Softshell","female","11.2 11.2 11.2",38
"Softshell","male","9.0 8.7",13
"Softshell","female","9.6 9.9 9.9",15
"Softshell","female","10.5 10.3",33
"Spotted","female","5.2 5.1",78
"Softshell","female","10.2 10.1 10.3",23
"Spotted","male","3.6 3.6 3.5",21
"Spotted","male","3.1 3.4 3.4 3.4 3.4 3.2",27
"Spotted","male","3.9 4.2 3.9 3.9 3.9",43
"Softshell","female","10.8 11.0",21
"Softshell","female","10.1 10.0",34
"Softshell","female","10.9 10.9 11.1 10.9",30
"Softshell","female","10.8 10.8",29
"Softshell","female","10.1 9.9 10.1",13
"Softshell","female","10.3 10.3 10.5",32
"Softshell","female","9.9 9.8",22
"Softshell","female","10.6 10.3",21
"Softshell","female","10.0 10.2",20
"Spotted","male","3.5 3.4 3.4",23
"Spotted","female","5.1 5.2 5.3",59
"Softshell","female","10.4 10.4",17
"Softshell","female","11.7 11.7 11.6",34
"Softshell","male","8.9 8.7",11
"Spotted","male","2.6 2.6",17
"Softshell","female","10.6 10.6",20
"Spotted","female","5.6 5.5",59
"Spotted","female","5.2 5.1 5.2",83
"Softshell","male","9.7 9.8 9.8 10.0",27
"Softshell","female","10.9 10.4",31
"Softshell","female","10.6 10.5 10.7 10.5 10.6",17
"Spotted","female","5.7 5.7",63
"Softshell","female","10.5 10.8 10.6",11
"Spotted","female","4.6 4.4",50
"Spotted","female","4.9 5.0 5.1",42
"Spotted","female","5.7 5.4 5.8",94
"Spotted","female","4.8 4.6",45
"Softshell","male","10.0 10.2",35
"Softshell","male","8.8 8.7 8.6",5
"Softshell","female","10.5 10.8",27
"Softshell","male","9.9 9.7",21
"Spotted","male","2.2 2.5 2.2 2.0",11
"Spotted","female","4.3 4.4 4.4 4.6",29
"Spotted","female","5.5 5.4 5.4 5.3 5.3 5.4",51
"Spotted","male","3.2 3.2 3.1 3.3 3.0",22
"Softshell","female","9.8 9.9 10.0",20
"Spotted","female","4.7 4.8",40
"Spotted","female","5.0 4.8 5.1",65
"Softshell","female","9.6 9.6 9.6",14
"Spotted","male","3.1 3.4 3.1 3.1 3.0",27
"Spotted","female","5.1 5.0 4.9 4.9",61
"Softshell","female","10.1 9.9 9.7 9.9",16
"Softshell","male","9.3 9.2 9.0",18
"Softshell","male","8.9 9.1 9.2",20
"Spotted","female","4.5 4.4 4.6 4.6",74
"Softshell","male","8.8 8.7",7
"Spotted","female","3.7 3.6 3.8",28
"Softshell","male","8.8 8.7",8
"Softshell","male","9.6 9.8",19
"Softshell","male","8.7 8.9 8.9",20
"Spotted","female","5.1 5.2",54
"Spotted","female","4.9 5.0",63
"Spotted","male","3.4 3.5 3.4",41
"Spotted","male","4.6 4.5",41
"Softshell","female","10.5 10.4 10.1 10.2",20
"Spotted","male","3.7 3.7 3.6",27
"Softshell","male","8.9 8.6 8.9",12
"Spotted","male","1.8 1.9 1.9",9
"Softshell","male","9.6 9.7 9.6 9.5",31
"Softshell","female","10.3 10.5 10.5 10.5 10.6",16
"Softshell","male","9.6 9.6",26
"Spotted","female","5.6 5.5 5.6 5.8",61
"Spotted","female","5.4 5.4 5.5",77
"Spotted","female","4.2 4.3",45
"Spotted","male","3.7 3.6 3.8 3.8",42
"Spotted","female","5.3 5.2",91
"Softshell","female","10.2 10.3 10.4",26
"Softshell","female","9.9 10.2 10.1",10
"Softshell","female","10.1 10.4 10.3",17
"Spotted","female","5.1 5.0 5.1",59
"Softshell","female","11.7 11.5",28
"Softshell","female","11.0 10.9 10.9",20
"Softshell","male","8.7 8.8",12
"Softshell","male","9.8 9.7 9.8 9.7",17
"Spotted","male","3.4 3.4",24
"Softshell","male","8.7 8.9 9.0",7
"Spotted","female","6.0 5.9",78
"Spotted","female","4.7 4.5 4.7",48
"Spotted","female","5.6 5.6",52
"Softshell","female","10.7 10.6 10.5",24
"Spotted","female","4.8 4.8 4.9 4.8",36
"Spotted","female","4.8 5.1 5.1 5.1 5.0 4.7 5.2",59
"Softshell","female","10.5 11.0 10.8",27
"Softshell","female","10.3 10.1",26
"Softshell","female","10.6 10.8",24
"Spotted","male","4.0 4.0",26
"Spotted","female","5.5 5.2 5.5",68
"Spotted","female","5.4 5.7 5.6",103
"Spotted","female","3.9 3.8 4.1",28
"Spotted","female","4.5 4.4 4.5",30
"Softshell","female","10.7 10.8 10.9 10.8",19
"Spotted","female","4.9 4.7 4.7",58
"Softshell","female","10.3 10.4",24
"Spotted","male","3.9 3.9",38
"Spotted","female","6.1 5.8",92
"Spotted","female","4.1 4.0",26
"Softshell","male","9.2 9.4",12
"Spotted","female","4.3 4.4 4.5",37
"Softshell","female","9.7 9.6",18
"Spotted","female","4.9 4.9 5.0 4.7",47
"Softshell","male","8.8 8.6",10
"Softshell","male","8.9 9.0 8.6",24
"Softshell","male","9.2 9.2 9.1 9.2",19
"Spotted","female","5.6 5.4 5.4",54
"Softshell","male","10.0 10.1",47
"Spotted","female","4.9 5.0 4.9 4.9 4.9",14
"Spotted","male","3.8 4.0",43
"Spotted","female","5.2 5.0 5.0",69
"Softshell","male","9.3 9.0",13
"Softshell","female","11.2 11.2",27
"Softshell","male","9.2 9.2",16
"Softshell","female","9.9 10.0",28
"Softshell","male","8.9 8.7",19
"Softshell","female","10.2 10.5 10.4",16
"Softshell","female","10.5 10.4 10.5 10.6",19
"Spotted","female","5.3 5.1",70
"Softshell","male","8.7 8.9",20
"Softshell","male","9.5 9.3 9.4 9.5 9.4",16
"Softshell","female","10.8 10.8 10.7",16
"Softshell","female","10.2 10.1 10.0 10.1 10.4 10.1",14
"Softshell","female","10.5 10.0",20
"Softshell","male","8.0 8.4 8.3 8.3",10
"Spotted","male","3.0 2.8",16
"Spotted","male","2.7 2.4 2.5",17
"Spotted","male","3.1 3.2 3.3",37
"Spotted","female","5.0 5.2",53
"Spotted","male","3.3 3.5 3.3",26
"Spotted","female","6.7 6.4 6.5 6.3 6.4",107
"Softshell","male","10.6 10.6 10.7 10.5",33
"Spotted","male","3.6 3.5",38
"Softshell","female","10.3 10.2 10.4 10.5",27
"Spotted","male","3.6 3.6",31
"Spotted","female","4.6 4.7 4.7",52
"Spotted","female","4.5 4.6 4.5",80
"Softshell","female","11.5 11.5 11.7",18
"Softshell","male","9.5 9.4 9.6",12
"Softshell","male","8.6 8.8",4
"Softshell","male","8.5 8.9 8.9",5
"Softshell","female","11.2 11.2 11.3",25
"Spotted","female","4.2 4.2",44
"Spotted","male","2.9 2.7 2.8 2.6",16
"Softshell","female","10.1 10.0",26
"Softshell","male","8.2 8.2 8.0",5
"Spotted","male","2.5 2.3 2.4 2.6 2.7",13
"Softshell","female","11.1 11.3",22
"Softshell","male","10.2 9.9 9.8",26
"Spotted","female","6.0 5.8 5.9 5.7",58
"Softshell","female","9.7 9.7",21
"Spotted","male","2.9 2.8 2.9 2.8",27
